0,1,2
"('28.92694', '78.23456', 'Bachhraon', 'IN', 'Asia/Kolkata')","('18.87813', '72.93924', 'Uran', 'IN', 'Asia/Kolkata')","[('29.21399', '78.95693'), ('26.44931', '91.61356'), ('22.19303', '88.18466'), ('12.1277', '78.15794'), ('26.11527', '86.59509'), ('9.57046', '76.32756'), ('29.21399', '78.95693'), ('25.92493', '73.66633'), ('25.13915', '73.06784'), ('17.34769', '78.55757'), ('23.49668', '86.68363'), ('14.62072', '74.83554')]"
"('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","('18.51957', '73.85535', 'Pune', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('14.46693', '75.92694'), ('25.87498', '86.59611'), ('10.10649', '76.35484'), ('17.34769', '78.55757'), ('20.88098', '75.11937'), ('18.87813', '72.93924'), ('12.1277', '78.15794'), ('25.13915', '73.06784'), ('29.21399', '78.95693')]"
"('18.51957', '73.85535', 'Pune', 'IN', 'Asia/Kolkata')","('23.07492', '88.28637', 'Pandua', 'IN', 'Asia/Kolkata')","[('11.93381', '79.82979'), ('19.21667', '73.08333'), ('28.71271', '77.656'), ('23.07492', '88.28637'), ('10.10649', '76.35484'), ('17.34769', '78.55757'), ('18.51957', '73.85535'), ('21.34222', '71.30633'), ('21.53889', '71.57737'), ('10.58806', '77.24779')]"
"('22.19303', '88.18466', 'Diamond Harbour', 'IN', 'Asia/Kolkata')","('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","[('22.10194', '85.37752'), ('22.4711', '88.1453'), ('20.88098', '75.11937'), ('12.25282', '79.41727'), ('27.9247', '78.40102'), ('26.32293', '91.00632'), ('21.53889', '71.57737'), ('23.1959', '86.51499'), ('25.87498', '86.59611'), ('31.28092', '74.85849'), ('18.87813', '72.93924'), ('11.00599', '77.5609')]"
"('30.21121', '74.4818', 'Malaut', 'IN', 'Asia/Kolkata')","('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","[('11.12018', '76.11996'), ('23.49668', '86.68363'), ('18.18158', '76.03889'), ('22.75218', '72.68533'), ('21.53889', '71.57737'), ('11.00599', '77.5609'), ('25.13915', '73.06784'), ('25.66795', '85.83636'), ('24.05979', '77.40858')]"
"('11.50526', '77.23826', 'Sathyamangalam', 'IN', 'Asia/Kolkata')","('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","[('32.55531', '76.12647'), ('21.46527', '83.97573'), ('30.81383', '75.16878'), ('23.49668', '86.68363'), ('22.88783', '84.13864'), ('9.57046', '76.32756'), ('18.51957', '73.85535'), ('23.49668', '86.68363')]"
"('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","[('18.87813', '72.93924'), ('29.21399', '78.95693'), ('15.5439', '73.7553'), ('25.92493', '73.66633'), ('25.49043', '85.94001'), ('30.81383', '75.16878'), ('32.55531', '76.12647'), ('25.6439', '77.9129')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('33.37526', '74.3092', 'Rajaori', 'IN', 'Asia/Kolkata')","[('24.41288', '76.56719'), ('15.73628', '75.96976'), ('9.82564', '78.25795'), ('23.49668', '86.68363'), ('27.9247', '78.40102'), ('18.51957', '73.85535'), ('12.25282', '79.41727'), ('12.04161', '75.35927'), ('22.88783', '84.13864'), ('24.81757', '84.63445')]"
"('23.1959', '86.51499', 'Kenda', 'IN', 'Asia/Kolkata')","('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","[('22.4711', '88.1453'), ('24.05979', '77.40858'), ('11.50526', '77.23826'), ('15.73628', '75.96976'), ('9.57046', '76.32756'), ('23.07492', '88.28637'), ('25.75728', '75.37991'), ('9.82564', '78.25795'), ('23.07492', '88.28637'), ('30.81383', '75.16878')]"
"('9.57046', '76.32756', 'Kalavoor', 'IN', 'Asia/Kolkata')","('22.4711', '88.1453', 'Pujali', 'IN', 'Asia/Kolkata')","[('30.21121', '74.4818'), ('29.22254', '79.5286'), ('25.92493', '73.66633'), ('27.9247', '78.40102'), ('12.1277', '78.15794'), ('24.05979', '77.40858'), ('21.53889', '71.57737'), ('25.6439', '77.9129'), ('27.9247', '78.40102')]"
"('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","[('21.46527', '83.97573'), ('21.34222', '71.30633'), ('15.45144', '78.14797'), ('9.82564', '78.25795'), ('25.92127', '86.79271'), ('28.71271', '77.656'), ('24.41288', '76.56719'), ('10.58806', '77.24779')]"
"('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","[('10.58806', '77.24779'), ('9.57046', '76.32756'), ('17.54907', '82.85749'), ('17.34769', '78.55757'), ('10.12268', '77.54372'), ('25.49043', '85.94001'), ('14.46693', '75.92694'), ('22.88783', '84.13864')]"
"('26.76628', '83.36889', 'Gorakhpur', 'IN', 'Asia/Kolkata')","('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","[('28.98002', '77.70636'), ('22.75218', '72.68533'), ('24.81757', '84.63445'), ('23.07492', '88.28637'), ('14.46693', '75.92694'), ('12.25282', '79.41727'), ('25.66795', '85.83636'), ('10.58806', '77.24779'), ('25.13915', '73.06784'), ('17.34769', '78.55757'), ('34.08565', '74.80555'), ('22.88783', '84.13864')]"
"('15.73628', '75.96976', 'Gajendragarh', 'IN', 'Asia/Kolkata')","('11.93381', '79.82979', 'Puducherry', 'IN', 'Asia/Kolkata')","[('14.46693', '75.92694'), ('20.88197', '85.83334'), ('23.1959', '86.51499'), ('19.21667', '73.08333'), ('23.49668', '86.68363'), ('25.92127', '86.79271'), ('10.10649', '76.35484'), ('29.21399', '78.95693'), ('17.54907', '82.85749'), ('30.81383', '75.16878'), ('11.93381', '79.82979'), ('30.21121', '74.4818')]"
"('25.92127', '86.79271', 'Madhipura', 'IN', 'Asia/Kolkata')","('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","[('12.25282', '79.41727'), ('22.88783', '84.13864'), ('25.75728', '75.37991'), ('21.59983', '71.21169'), ('12.1277', '78.15794'), ('25.75728', '75.37991'), ('23.07492', '88.28637'), ('26.32293', '91.00632'), ('17.34769', '78.55757'), ('28.71271', '77.656')]"
"('28.71271', '77.656', 'Pilkhua', 'IN', 'Asia/Kolkata')","('14.46693', '75.92694', 'Davangere', 'IN', 'Asia/Kolkata')","[('23.1959', '86.51499'), ('11.93381', '79.82979'), ('25.6439', '77.9129'), ('16.06213', '76.0586'), ('32.55531', '76.12647'), ('19.21667', '73.08333'), ('28.92694', '78.23456'), ('18.18158', '76.03889'), ('25.92127', '86.79271'), ('21.53889', '71.57737'), ('14.62072', '74.83554')]"
"('12.95629', '78.27539', 'Robertsonpet', 'IN', 'Asia/Kolkata')","('18.87813', '72.93924', 'Uran', 'IN', 'Asia/Kolkata')","[('21.46527', '83.97573'), ('15.45144', '78.14797'), ('26.76628', '83.36889'), ('28.98002', '77.70636'), ('20.88098', '75.11937'), ('25.92127', '86.79271'), ('25.49043', '85.94001'), ('34.08565', '74.80555')]"
"('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","('24.81757', '84.63445', 'Rafiganj', 'IN', 'Asia/Kolkata')","[('29.22254', '79.5286'), ('19.21667', '73.08333'), ('25.92127', '86.79271'), ('34.08565', '74.80555'), ('25.75728', '75.37991'), ('18.18158', '76.03889'), ('23.1959', '86.51499'), ('29.22254', '79.5286'), ('29.21399', '78.95693'), ('22.10194', '85.37752')]"
"('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","('9.57046', '76.32756', 'Kalavoor', 'IN', 'Asia/Kolkata')","[('24.05979', '77.40858'), ('26.32293', '91.00632'), ('9.82564', '78.25795'), ('19.21667', '73.08333'), ('25.66795', '85.83636'), ('25.49043', '85.94001'), ('9.82564', '78.25795'), ('30.81383', '75.16878'), ('21.53889', '71.57737')]"
"('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","('26.44931', '91.61356', 'Rangia', 'IN', 'Asia/Kolkata')","[('14.62072', '74.83554'), ('10.10649', '76.35484'), ('20.88098', '75.11937'), ('20.88098', '75.11937'), ('10.10649', '76.35484'), ('25.49043', '85.94001'), ('23.49668', '86.68363'), ('20.88197', '85.83334'), ('18.87813', '72.93924')]"
"('10.12268', '77.54372', 'Periyakulam', 'IN', 'Asia/Kolkata')","('25.13915', '73.06784', 'Sheoganj', 'IN', 'Asia/Kolkata')","[('10.12268', '77.54372'), ('18.87813', '72.93924'), ('25.87498', '86.59611'), ('20.88098', '75.11937'), ('9.57046', '76.32756'), ('11.93381', '79.82979'), ('26.76628', '83.36889'), ('12.95629', '78.27539')]"
"('12.04161', '75.35927', 'Talipparamba', 'IN', 'Asia/Kolkata')","('32.55531', '76.12647', 'Chamba', 'IN', 'Asia/Kolkata')","[('23.07492', '88.28637'), ('10.12268', '77.54372'), ('17.34769', '78.55757'), ('18.51957', '73.85535'), ('26.44931', '91.61356'), ('26.76628', '83.36889'), ('23.07492', '88.28637'), ('10.12268', '77.54372'), ('33.37526', '74.3092'), ('25.87498', '86.59611'), ('16.06213', '76.0586'), ('17.54907', '82.85749')]"
"('29.22254', '79.5286', 'Haldwani', 'IN', 'Asia/Kolkata')","('10.10649', '76.35484', 'Alwaye', 'IN', 'Asia/Kolkata')","[('23.18', '88.58'), ('22.75218', '72.68533'), ('18.18158', '76.03889'), ('20.88098', '75.11937'), ('17.34769', '78.55757'), ('25.49043', '85.94001'), ('22.19303', '88.18466'), ('25.92493', '73.66633'), ('11.50526', '77.23826'), ('22.10194', '85.37752')]"
"('9.57046', '76.32756', 'Kalavoor', 'IN', 'Asia/Kolkata')","('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","[('24.41288', '76.56719'), ('21.46527', '83.97573'), ('21.53889', '71.57737'), ('25.92127', '86.79271'), ('26.11527', '86.59509'), ('25.49043', '85.94001'), ('30.81383', '75.16878'), ('29.21399', '78.95693'), ('34.08565', '74.80555'), ('18.87813', '72.93924')]"
"('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","('26.32293', '91.00632', 'Barpeta', 'IN', 'Asia/Kolkata')","[('25.75728', '75.37991'), ('29.21399', '78.95693'), ('30.81383', '75.16878'), ('15.5439', '73.7553'), ('18.87813', '72.93924'), ('10.10649', '76.35484'), ('21.59983', '71.21169'), ('10.12268', '77.54372'), ('21.59983', '71.21169'), ('23.07492', '88.28637')]"
"('25.6439', '77.9129', 'Narwar', 'IN', 'Asia/Kolkata')","('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","[('11.12018', '76.11996'), ('21.53889', '71.57737'), ('20.88098', '75.11937'), ('20.88098', '75.11937'), ('22.75218', '72.68533'), ('32.55531', '76.12647'), ('10.58806', '77.24779'), ('25.92493', '73.66633'), ('28.98002', '77.70636'), ('26.2649', '81.54855'), ('30.21121', '74.4818')]"
"('19.30157', '72.85107', 'Bhayandar', 'IN', 'Asia/Kolkata')","('25.75728', '75.37991', 'Deoli', 'IN', 'Asia/Kolkata')","[('12.95629', '78.27539'), ('29.22254', '79.5286'), ('25.92493', '73.66633'), ('19.30157', '72.85107'), ('21.46527', '83.97573'), ('25.13915', '73.06784'), ('19.21667', '73.08333'), ('29.21399', '78.95693')]"
"('21.59983', '71.21169', 'Amreli', 'IN', 'Asia/Kolkata')","('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","[('22.4711', '88.1453'), ('30.81383', '75.16878'), ('26.11527', '86.59509'), ('19.30157', '72.85107'), ('14.62072', '74.83554'), ('22.4711', '88.1453'), ('32.55531', '76.12647'), ('12.25282', '79.41727'), ('18.18158', '76.03889'), ('23.07492', '88.28637'), ('11.93381', '79.82979')]"
"('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","('22.10194', '85.37752', 'Barbil', 'IN', 'Asia/Kolkata')","[('20.88098', '75.11937'), ('30.81383', '75.16878'), ('15.45144', '78.14797'), ('29.22254', '79.5286'), ('25.92127', '86.79271'), ('18.18158', '76.03889'), ('12.04161', '75.35927'), ('34.08565', '74.80555'), ('28.92694', '78.23456'), ('25.87498', '86.59611'), ('26.2649', '81.54855')]"
"('11.12018', '76.11996', 'Manjeri', 'IN', 'Asia/Kolkata')","('11.50526', '77.23826', 'Sathyamangalam', 'IN', 'Asia/Kolkata')","[('14.62072', '74.83554'), ('23.1959', '86.51499'), ('22.88783', '84.13864'), ('23.49668', '86.68363'), ('23.07492', '88.28637'), ('26.76628', '83.36889'), ('21.59983', '71.21169'), ('19.30157', '72.85107'), ('20.88197', '85.83334'), ('18.87813', '72.93924')]"
"('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","[('23.49668', '86.68363'), ('25.92493', '73.66633'), ('19.30157', '72.85107'), ('21.46527', '83.97573'), ('32.55531', '76.12647'), ('21.59983', '71.21169'), ('24.41288', '76.56719'), ('18.51957', '73.85535'), ('25.92127', '86.79271'), ('26.32293', '91.00632'), ('14.46693', '75.92694')]"
"('20.88197', '85.83334', 'Bhuban', 'IN', 'Asia/Kolkata')","('28.71271', '77.656', 'Pilkhua', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('16.06213', '76.0586'), ('9.57046', '76.32756'), ('26.2649', '81.54855'), ('25.92127', '86.79271'), ('9.82564', '78.25795'), ('28.92694', '78.23456'), ('17.34769', '78.55757')]"
"('15.5439', '73.7553', 'Calangute', 'IN', 'Asia/Kolkata')","('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","[('25.87498', '86.59611'), ('12.1277', '78.15794'), ('15.45144', '78.14797'), ('24.05979', '77.40858'), ('20.88098', '75.11937'), ('25.66795', '85.83636'), ('14.62072', '74.83554'), ('25.87498', '86.59611'), ('12.95629', '78.27539'), ('26.76628', '83.36889'), ('22.75218', '72.68533'), ('12.95629', '78.27539')]"
"('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","[('24.05979', '77.40858'), ('12.25282', '79.41727'), ('23.49668', '86.68363'), ('22.4711', '88.1453'), ('28.71271', '77.656'), ('22.88783', '84.13864'), ('26.2649', '81.54855'), ('25.92127', '86.79271'), ('15.5439', '73.7553'), ('9.57046', '76.32756')]"
"('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","('31.28092', '74.85849', 'Patti', 'IN', 'Asia/Kolkata')","[('18.18158', '76.03889'), ('10.12268', '77.54372'), ('15.45144', '78.14797'), ('25.66795', '85.83636'), ('23.18', '88.58'), ('10.12268', '77.54372'), ('25.49043', '85.94001'), ('14.46693', '75.92694'), ('18.18158', '76.03889'), ('15.73628', '75.96976'), ('23.1959', '86.51499'), ('22.19303', '88.18466')]"
"('25.6439', '77.9129', 'Narwar', 'IN', 'Asia/Kolkata')","('21.53889', '71.57737', 'Gariadhar', 'IN', 'Asia/Kolkata')","[('21.46527', '83.97573'), ('30.21121', '74.4818'), ('15.45144', '78.14797'), ('23.18', '88.58'), ('11.50526', '77.23826'), ('26.32293', '91.00632'), ('18.51957', '73.85535'), ('17.34769', '78.55757')]"
"('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","[('12.25282', '79.41727'), ('25.92493', '73.66633'), ('22.75218', '72.68533'), ('28.92694', '78.23456'), ('23.18', '88.58'), ('11.12018', '76.11996'), ('25.75728', '75.37991'), ('20.88197', '85.83334'), ('18.87813', '72.93924'), ('15.45144', '78.14797'), ('21.46527', '83.97573'), ('28.92694', '78.23456')]"
"('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","[('28.71271', '77.656'), ('22.88783', '84.13864'), ('15.45144', '78.14797'), ('19.30157', '72.85107'), ('34.08565', '74.80555'), ('16.06213', '76.0586'), ('15.5439', '73.7553'), ('20.88197', '85.83334')]"
"('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","('25.92493', '73.66633', 'Sojat', 'IN', 'Asia/Kolkata')","[('28.92694', '78.23456'), ('28.92694', '78.23456'), ('14.62072', '74.83554'), ('26.11527', '86.59509'), ('10.58806', '77.24779'), ('25.87498', '86.59611'), ('25.49043', '85.94001'), ('25.6439', '77.9129'), ('23.49668', '86.68363'), ('23.18', '88.58'), ('11.12018', '76.11996'), ('21.34222', '71.30633')]"
"('23.18', '88.58', 'Aistala', 'IN', 'Asia/Kolkata')","('25.87498', '86.59611', 'Saharsa', 'IN', 'Asia/Kolkata')","[('17.54907', '82.85749'), ('23.49668', '86.68363'), ('28.71271', '77.656'), ('30.81383', '75.16878'), ('29.21399', '78.95693'), ('28.92694', '78.23456'), ('28.92694', '78.23456'), ('15.73628', '75.96976'), ('22.19303', '88.18466'), ('26.44931', '91.61356'), ('18.18158', '76.03889')]"
"('20.88098', '75.11937', 'Parola', 'IN', 'Asia/Kolkata')","('15.45144', '78.14797', 'Betamcherla', 'IN', 'Asia/Kolkata')","[('14.46693', '75.92694'), ('29.21399', '78.95693'), ('25.92493', '73.66633'), ('23.1959', '86.51499'), ('21.46527', '83.97573'), ('14.46693', '75.92694'), ('10.58806', '77.24779'), ('22.75218', '72.68533'), ('30.81383', '75.16878'), ('23.18', '88.58'), ('25.75728', '75.37991'), ('29.22254', '79.5286')]"
"('21.46527', '83.97573', 'Sambalpur', 'IN', 'Asia/Kolkata')","('22.4711', '88.1453', 'Pujali', 'IN', 'Asia/Kolkata')","[('24.81757', '84.63445'), ('27.9247', '78.40102'), ('17.54907', '82.85749'), ('22.88783', '84.13864'), ('34.08565', '74.80555'), ('10.12268', '77.54372'), ('25.92127', '86.79271'), ('24.05979', '77.40858'), ('11.93381', '79.82979'), ('25.49043', '85.94001'), ('11.00599', '77.5609'), ('28.71271', '77.656')]"
"('15.73628', '75.96976', 'Gajendragarh', 'IN', 'Asia/Kolkata')","('18.18158', '76.03889', 'Osmanabad', 'IN', 'Asia/Kolkata')","[('26.32293', '91.00632'), ('28.98002', '77.70636'), ('22.10194', '85.37752'), ('14.62072', '74.83554'), ('28.92694', '78.23456'), ('24.05979', '77.40858'), ('29.21399', '78.95693'), ('25.66795', '85.83636'), ('12.95629', '78.27539'), ('25.6439', '77.9129'), ('22.88783', '84.13864'), ('23.18', '88.58')]"
"('11.00599', '77.5609', 'Kangayam', 'IN', 'Asia/Kolkata')","('34.08565', '74.80555', 'Srinagar', 'IN', 'Asia/Kolkata')","[('22.10194', '85.37752'), ('15.5439', '73.7553'), ('11.00599', '77.5609'), ('16.06213', '76.0586'), ('28.98002', '77.70636'), ('25.66795', '85.83636'), ('17.34769', '78.55757'), ('12.95629', '78.27539'), ('34.08565', '74.80555'), ('18.18158', '76.03889'), ('10.10649', '76.35484'), ('25.87498', '86.59611')]"
"('27.9247', '78.40102', 'Chharra', 'IN', 'Asia/Kolkata')","('25.49043', '85.94001', 'Teghra', 'IN', 'Asia/Kolkata')","[('17.34769', '78.55757'), ('10.58806', '77.24779'), ('20.88098', '75.11937'), ('9.57046', '76.32756'), ('25.87498', '86.59611'), ('16.06213', '76.0586'), ('22.75218', '72.68533'), ('22.75218', '72.68533'), ('21.59983', '71.21169'), ('23.18', '88.58')]"
"('17.54907', '82.85749', 'Elamanchili', 'IN', 'Asia/Kolkata')","('10.10649', '76.35484', 'Alwaye', 'IN', 'Asia/Kolkata')","[('25.13915', '73.06784'), ('22.75218', '72.68533'), ('22.88783', '84.13864'), ('21.53889', '71.57737'), ('30.81383', '75.16878'), ('15.5439', '73.7553'), ('22.88783', '84.13864'), ('11.50526', '77.23826'), ('21.34222', '71.30633'), ('29.21399', '78.95693')]"
"('23.1959', '86.51499', 'Kenda', 'IN', 'Asia/Kolkata')","('28.98002', '77.70636', 'Meerut', 'IN', 'Asia/Kolkata')","[('20.88098', '75.11937'), ('25.13915', '73.06784'), ('15.73628', '75.96976'), ('18.51957', '73.85535'), ('15.73628', '75.96976'), ('11.00599', '77.5609'), ('12.1277', '78.15794'), ('11.00599', '77.5609'), ('12.95629', '78.27539')]"
"('19.21667', '73.08333', 'Dombivli', 'IN', 'Asia/Kolkata')","('16.06213', '76.0586', 'Hungund', 'IN', 'Asia/Kolkata')","[('33.37526', '74.3092'), ('19.21667', '73.08333'), ('24.05979', '77.40858'), ('26.11527', '86.59509'), ('26.44931', '91.61356'), ('10.12268', '77.54372'), ('18.87813', '72.93924'), ('12.04161', '75.35927'), ('11.93381', '79.82979'), ('10.12268', '77.54372')]"
